date,symbol,reported_currency,cik,filling_date,accepted_date,calendar_year,period,cash_and_cash_equivalents,short_term_investments,cash_and_short_term_investments,net_receivables,inventory,other_current_assets,total_current_assets,property_plant_equipment_net,goodwill,intangible_assets,goodwill_and_intangible_assets,long_term_investments,tax_assets,other_non_current_assets,total_non_current_assets,other_assets,total_assets,account_payables,short_term_debt,tax_payables,deferred_revenue,other_current_liabilities,total_current_liabilities,long_term_debt,deferred_revenue_non_current,deferred_tax_liabilities_non_current,other_non_current_liabilities,total_non_current_liabilities,other_liabilities,capital_lease_obligations,total_liabilities,preferred_stock,common_stock,retained_earnings,accumulated_other_comprehensive_income_loss,othertotal_stockholders_equity,total_stockholders_equity,total_equity,total_liabilities_and_stockholders_equity,minority_interest,total_liabilities_and_total_equity,total_investments,total_debt,net_debt,link,final_link
2024-12-31,GS,USD,0000886982,2025-02-27,2025-02-27 08:50:25,2024,FY,182092000000,739738000000,921830000000,151213000000,0,0,1073043000000,9991000000,5853000000,847000000,6700000000,396259000000,0,189979000000,602929000000,0,1675972000000,223255000000,365004000000,3544000000,0,566471000000,1158274000000,251931000000,0,0,143771000000,395702000000,0,2062000000,1553976000000,13253000000,9000000,153412000000,-2702000000,-41976000000,121996000000,121996000000,1675972000000,0,1675972000000,1135997000000,616935000000,434843000000,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/0000886982-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/gs-20241231.htm
2023-12-31,GS,USD,0000886982,2024-02-28,2024-02-27 21:46:02,2023,FY,241577000000,683368000000,924945000000,148577000000,0,0,1073522000000,13415000000,5916000000,1177000000,7093000000,353194000000,0,194370000000,568072000000,0,1641594000000,230728000000,333036000000,2947000000,0,579509000000,1146220000000,250099000000,0,0,128370000000,378469000000,0,2232000000,1524689000000,11203000000,9000000,143688000000,-2918000000,-35077000000,116905000000,116905000000,1641594000000,0,1641594000000,1036562000000,583135000000,341558000000,https://www.sec.gov/Archives/edgar/data/886982/000088698224000012/0000886982-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698224000012/gs-20231231.htm
2022-12-31,GS,USD,0000886982,2023-02-24,2023-02-23 19:58:16,2022,FY,241825000000,480129000000,721954000000,147027000000,0,0,868981000000,19246000000,6374000000,2009000000,8383000000,361691000000,0,183498000000,572818000000,0,1441799000000,262045000000,178149000000,2669000000,0,529318000000,972181000000,256399000000,0,0,96030000000,352429000000,0,2154000000,1324610000000,10703000000,9000000,139372000000,-3010000000,-29885000000,117189000000,117189000000,1441799000000,0,1441799000000,841820000000,434548000000,192723000000,https://www.sec.gov/Archives/edgar/data/886982/000088698223000003/0000886982-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698223000003/gs-20221231.htm
2021-12-31,GS,USD,0000886982,2022-02-25,2022-02-24 21:09:11,2021,FY,261036000000,517684000000,778720000000,170192000000,0,0,948912000000,20386000000,4285000000,418000000,4703000000,314789000000,0,175198000000,515076000000,0,1463988000000,251931000000,222008000000,2360000000,0,499484000000,975783000000,265754000000,0,0,112525000000,378279000000,0,2288000000,1354062000000,10703000000,9000000,131811000000,-2068000000,-30529000000,109926000000,109926000000,1463988000000,0,1463988000000,832473000000,487762000000,226726000000,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/0001193125-22-052682-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/d192225d10k.htm
2020-12-31,GS,USD,0000886982,2021-02-22,2021-02-19 21:16:45,2020,FY,155842000000,432635000000,588477000000,128387000000,0,0,716864000000,25427000000,4332000000,630000000,4962000000,277489000000,0,138286000000,446164000000,0,1163028000000,190658000000,192659000000,3155000000,0,359386000000,745858000000,228301000000,0,0,92937000000,321238000000,0,2283000000,1067096000000,11203000000,9000000,112947000000,-1434000000,-26793000000,95932000000,95932000000,1163028000000,0,1163028000000,710124000000,420960000000,265118000000,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/0001193125-21-049380-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/d39654d10k.htm
2025-06-30,MSFT,USD,0000789019,2025-07-30,2025-07-30 16:11:40,2025,FY,30242000000,64323000000,94565000000,78105000000,938000000,17523000000,191131000000,229789000000,119509000000,22604000000,142113000000,20622000000,29108000000,6240000000,427872000000,0,619003000000,27724000000,11595000000,0,64555000000,37344000000,141218000000,100589000000,2710000000,2835000000,28172000000,134306000000,0,60437000000,275524000000,0,109095000000,237731000000,-3347000000,0,343479000000,343479000000,619003000000,0,619003000000,84945000000,112184000000,81942000000,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/0000950170-25-100235-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
2024-06-30,MSFT,USD,0000789019,2024-07-30,2024-07-30 16:06:22,2024,FY,18315000000,57216000000,75531000000,56924000000,1246000000,26033000000,159734000000,154552000000,119220000000,27597000000,146817000000,14600000000,0,36460000000,352429000000,0,512163000000,21996000000,8942000000,5017000000,57582000000,31749000000,125286000000,58185000000,2602000000,2618000000,54995000000,118400000000,0,15497000000,243686000000,0,100923000000,173144000000,-5590000000,0,268477000000,268477000000,512163000000,0,512163000000,71816000000,67127000000,48812000000,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,34704000000,76552000000,111256000000,48688000000,2500000000,21813000000,184257000000,109987000000,67886000000,9366000000,77252000000,9879000000,0,30601000000,227719000000,0,411976000000,18095000000,5247000000,4152000000,50901000000,25754000000,104149000000,54718000000,2912000000,433000000,43541000000,101604000000,0,12728000000,205753000000,0,93718000000,118848000000,-6343000000,0,206223000000,206223000000,411976000000,0,411976000000,86431000000,59965000000,25261000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,13931000000,90818000000,104749000000,44261000000,3742000000,16932000000,169684000000,87546000000,67524000000,11298000000,78822000000,6891000000,0,21897000000,195156000000,0,364840000000,19000000000,2749000000,4067000000,45538000000,23728000000,95082000000,58521000000,2870000000,230000000,41595000000,103216000000,0,11489000000,198298000000,0,86939000000,84281000000,-4678000000,0,166542000000,166542000000,364840000000,0,364840000000,97709000000,61270000000,47339000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,14224000000,116032000000,130256000000,38043000000,2636000000,13471000000,184406000000,70803000000,49711000000,7800000000,57511000000,5984000000,0,15075000000,149373000000,0,333779000000,15163000000,8072000000,2174000000,41525000000,21723000000,88657000000,59703000000,2616000000,198000000,40617000000,103134000000,0,9629000000,191791000000,0,83111000000,57055000000,1822000000,0,141988000000,141988000000,333779000000,0,333779000000,122016000000,67775000000,53551000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
