symbol,calendar_year,w_equity,w_debt
GS,2024,0.3338020401118662,0.6661979598881338
MSFT,2025,0.9794317588287565,0.020568241171243444
CAT,2024,0.861103743220818,0.138896256779182
HD,2024,0.8638940400466281,0.13610595995337194
SHW,2024,0.8817315371237335,0.1182684628762665
V,2024,0.9864392050164801,0.013560794983519904
MCD,2024,0.8123336115873839,0.18766638841261607
AXP,2024,0.9512622982364838,0.04873770176351623
JPM,2024,0.7368155831756554,0.26318441682434457
AMGN,2024,0.7610399287480865,0.2389600712519135
TRV,2024,0.8906606138953823,0.10933938610461773
IBM,2024,0.8398106027573676,0.16018939724263245
CRM,2025,0.9894330426897762,0.01056695731022378
UNH,2024,0.8120845485641731,0.18791545143582689
BA,2024,0.809750507345522,0.19024949265447802
AMZN,2024,0.9785667297465266,0.02143327025347337
HON,2024,0.865349792925756,0.134650207074244
AAPL,2024,0.9742419465579836,0.025758053442016392
NVDA,2025,0.9996216721471742,0.0003783278528257931
JNJ,2024,0.9705888694072417,0.029411130592758364
PG,2025,0.9351023595634333,0.06489764043656664
CVX,2024,0.9460460351641664,0.05395396483583361
MMM,2024,0.9093274699503046,0.09067253004969549
DIS,2024,0.8234437285452458,0.1765562714547542
WMT,2025,0.9416884526625764,0.05831154733742356
MRK,2024,0.8937339979130176,0.10626600208698249
NKE,2025,0.9686489709912387,0.031351029008761244
KO,2024,0.8967292708697364,0.10327072913026358
CSCO,2024,0.9218871785997216,0.07811282140027843
VZ,2024,0.5245152117061347,0.47548478829386526
