date,symbol,reported_currency,cik,filling_date,accepted_date,calendar_year,period,net_income,depreciation_and_amortization,deferred_income_tax,stock_based_compensation,change_in_working_capital,accounts_receivables,inventory,accounts_payables,other_working_capital,other_non_cash_items,net_cash_provided_by_operating_activities,investments_in_property_plant_and_equipment,acquisitions_net,purchases_of_investments,sales_maturities_of_investments,other_investing_activites,net_cash_used_for_investing_activites,debt_repayment,common_stock_issued,common_stock_repurchased,dividends_paid,other_financing_activites,net_cash_used_provided_by_financing_activities,effect_of_forex_changes_on_cash,net_change_in_cash,cash_at_end_of_period,cash_at_beginning_of_period,operating_cash_flow,capital_expenditure,free_cash_flow,link,final_link
2024-12-31,GS,USD,0000886982,2025-02-27,2025-02-27 08:50:25,2024,FY,14276000000,2392000000,-800000000,2663000000,-33091000000,0,0,0,-33091000000,1348000000,-13212000000,-2091000000,3622000000,-92096000000,56373000000,-15432000000,-49624000000,10581000000,4239000000,-10200000000,-4497000000,7200000000,7323000000,-3972000000,-59485000000,182092000000,241577000000,-13212000000,-2091000000,-15303000000,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/0000886982-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/gs-20241231.htm
2023-12-31,GS,USD,0000886982,2024-02-28,2024-02-27 21:46:02,2023,FY,8516000000,4856000000,-1360000000,2085000000,-27712000000,0,0,0,-27712000000,1028000000,-12587000000,-2316000000,487000000,-40256000000,26848000000,-2075000000,-17312000000,-4713000000,1496000000,-6796000000,-4189000000,42002000000,27800000000,1851000000,-248000000,241577000000,241825000000,-12587000000,-2316000000,-14903000000,https://www.sec.gov/Archives/edgar/data/886982/000088698224000012/0000886982-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698224000012/gs-20231231.htm
2022-12-31,GS,USD,0000886982,2023-02-24,2023-02-23 19:58:16,2022,FY,11261000000,2455000000,-2412000000,4083000000,-9394000000,35014000000,0,0,-44408000000,2715000000,8708000000,-3748000000,-2115000000,-60536000000,12961000000,-22522000000,-75960000000,38147000000,0,-3500000000,-3682000000,28637000000,59602000000,-11561000000,-19211000000,241825000000,261036000000,8708000000,-3748000000,4960000000,https://www.sec.gov/Archives/edgar/data/886982/000088698223000003/0000886982-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698223000003/gs-20221231.htm
2021-12-31,GS,USD,0000886982,2022-02-25,2022-02-24 21:09:11,2021,FY,21635000000,2015000000,5000000,2553000000,-27027000000,21971000000,0,0,-48998000000,7117000000,6298000000,-4667000000,3933000000,-39912000000,45701000000,-35520000000,-30465000000,39131000000,2172000000,-7875000000,-2725000000,104517000000,134738000000,-5377000000,105194000000,261036000000,155842000000,6298000000,-4667000000,1631000000,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/0001193125-22-052682-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/d192225d10k.htm
2020-12-31,GS,USD,0000886982,2021-02-22,2021-02-19 21:16:45,2020,FY,9459000000,1902000000,-833000000,1920000000,2810000000,-30895000000,0,0,33705000000,-33793000000,-18535000000,-6309000000,-231000000,-48670000000,29057000000,-8203000000,-34356000000,6703000000,349000000,-2278000000,-2336000000,67941000000,70380000000,4807000000,22296000000,155842000000,133546000000,-18535000000,-6309000000,-24844000000,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/0001193125-21-049380-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/d39654d10k.htm
2025-06-30,MSFT,USD,0000789019,2025-07-30,2025-07-30 16:11:40,2025,FY,101832000000,34153000000,-7056000000,11974000000,-5350000000,-10581000000,309000000,569000000,4353000000,609000000,136162000000,-64551000000,-5978000000,-29775000000,25388000000,2317000000,-72599000000,-8962000000,2056000000,-18420000000,-24082000000,-2291000000,-51699000000,63000000,11927000000,30242000000,18315000000,136162000000,-64551000000,71611000000,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/0000950170-25-100235-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
2024-06-30,MSFT,USD,0000789019,2024-07-30,2024-07-30 16:06:22,2024,FY,88136000000,22287000000,-4738000000,10734000000,1824000000,-7191000000,1284000000,3545000000,4186000000,305000000,118548000000,-44477000000,-69132000000,-17732000000,35669000000,-1298000000,-96970000000,575000000,2002000000,-17254000000,-21771000000,-1309000000,-37757000000,-210000000,-16389000000,18315000000,34704000000,118548000000,-44477000000,74071000000,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,72361000000,13861000000,-6059000000,9611000000,-2388000000,-4087000000,1242000000,-2721000000,3178000000,196000000,87582000000,-28107000000,-1670000000,-37651000000,47864000000,-3116000000,-22680000000,-2750000000,1866000000,-22245000000,-19800000000,-1006000000,-43935000000,-194000000,20773000000,34704000000,13931000000,87582000000,-28107000000,59475000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,72738000000,14460000000,-5702000000,7502000000,446000000,-6834000000,-1123000000,2943000000,5460000000,-409000000,89035000000,-23886000000,-22038000000,-26456000000,44894000000,-2825000000,-30311000000,-9023000000,1841000000,-32696000000,-18135000000,-863000000,-58876000000,-141000000,-293000000,13931000000,14224000000,89035000000,-23886000000,65149000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,61271000000,11686000000,-150000000,6118000000,-936000000,-6481000000,-737000000,2798000000,3484000000,-1249000000,76740000000,-20622000000,-8909000000,-62924000000,65800000000,-922000000,-27577000000,-3750000000,1693000000,-27385000000,-16521000000,-2523000000,-48486000000,-29000000,648000000,14224000000,13576000000,76740000000,-20622000000,56118000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
2024-12-31,CAT,USD,0000018230,2025-02-14,2025-02-14 09:36:30,2024,FY,10788000000,2153000000,-621000000,0,-859000000,-160000000,-414000000,-282000000,-3000000,574000000,12035000000,-3215000000,-61000000,-1529000000,3094000000,-742000000,-2453000000,799000000,20000000,-7697000000,-2646000000,-41000000,-9565000000,-106000000,-89000000,6889000000,6978000000,12035000000,-3215000000,8820000000,https://www.sec.gov/Archives/edgar/data/18230/000001823025000008/0000018230-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000008/cat-20241231.htm
2023-12-31,CAT,USD,0000018230,2024-02-16,2024-02-16 10:05:13,2023,FY,10332000000,2144000000,-592000000,0,151000000,-437000000,-364000000,-754000000,1706000000,850000000,12885000000,-3092000000,-4000000,-4405000000,1891000000,-261000000,-5871000000,594000000,12000000,-4975000000,-2563000000,0,-6932000000,-108000000,-26000000,6978000000,7004000000,12885000000,-3092000000,9793000000,https://www.sec.gov/Archives/edgar/data/18230/000001823024000009/0000018230-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823024000009/cat-20231231.htm
2022-12-31,CAT,USD,0000018230,2023-02-15,2023-02-15 10:27:56,2022,FY,6704000000,2219000000,-377000000,0,-1800000000,-220000000,-2589000000,798000000,211000000,1020000000,7766000000,-2599000000,1000000,-3165000000,2383000000,839000000,-2541000000,-652000000,51000000,-4230000000,-2440000000,-10000000,-7281000000,-194000000,-2250000000,7004000000,9254000000,7766000000,-2599000000,5167000000,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/0000018230-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm
2021-12-31,CAT,USD,0000018230,2022-02-16,2022-02-16 10:50:47,2021,FY,6493000000,2352000000,-383000000,0,-647000000,-1259000000,-2586000000,2041000000,1157000000,-617000000,7198000000,-2472000000,36000000,-2256000000,785000000,823000000,-3084000000,681000000,135000000,-2668000000,-2332000000,-4000000,-4188000000,-38000000,-112000000,9254000000,9366000000,7198000000,-2472000000,4726000000,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/0000018230-22-000050-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm
2020-12-31,CAT,USD,0000018230,2021-02-17,2021-02-17 10:41:38,2020,FY,3003000000,2432000000,-74000000,0,-417000000,1442000000,-34000000,98000000,-1923000000,1383000000,6327000000,-2115000000,25000000,-749000000,345000000,1009000000,-1485000000,-610000000,229000000,-1130000000,-2243000000,-1000000,-3755000000,-13000000,1074000000,9366000000,8292000000,6327000000,-2115000000,4212000000,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/0000018230-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/cat-20201231.htm
2025-02-02,HD,USD,0000354950,2025-03-21,2025-03-20 18:36:42,2024,FY,14806000000,3761000000,0,442000000,694000000,174000000,-743000000,518000000,745000000,107000000,19810000000,-3485000000,-17644000000,0,0,98000000,-21031000000,8790000000,395000000,-649000000,-8929000000,-301000000,-694000000,-186000000,-2101000000,1659000000,3760000000,19810000000,-3485000000,16325000000,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/0000354950-25-000085-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/hd-20250202.htm
2024-01-28,HD,USD,0000354950,2024-03-13,2024-03-13 16:31:59,2023,FY,15143000000,3247000000,0,380000000,2088000000,134000000,4137000000,-1411000000,-772000000,314000000,21172000000,-3226000000,-1514000000,0,0,11000000,-4729000000,724000000,323000000,-7951000000,-8383000000,-156000000,-15443000000,3000000,1003000000,3760000000,2757000000,21172000000,-3226000000,17946000000,https://www.sec.gov/Archives/edgar/data/354950/000035495024000062/0000354950-24-000062-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495024000062/hd-20240128.htm
2023-01-29,HD,USD,0000354950,2023-03-15,2023-03-15 16:22:15,2022,FY,17105000000,2975000000,0,366000000,-6102000000,111000000,-2830000000,-2577000000,-806000000,271000000,14615000000,-3119000000,0,0,0,-21000000,-3140000000,3416000000,264000000,-6696000000,-7789000000,-188000000,-10993000000,-68000000,414000000,2757000000,2343000000,14615000000,-3119000000,11496000000,https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/0000354950-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm
