symbol,calendar_year,cost_of_debt,avg_effective_tax_rate,after_tax_cost_of_debt
AAPL,2024,0.0,0.16549049330444088,0.0
AMGN,2024,0.05249671375563653,0.11859906783316229,0.04627065243991369
AMZN,2024,0.01838044308632544,0.22213416277491213,0.014297518749912615
AXP,2024,0.16152204975630763,0.2300472153363053,0.1243643519944569
BA,2024,0.050287886616963165,0.04591394184992947,0.047978971515076074
CAT,2024,0.013330209065583588,0.22123191198488484,0.010381141426846286
CRM,2025,0.0,0.09671524083124013,0.0
CSCO,2024,0.03249144112137459,0.18316127246021568,0.026540267421517442
CVX,2024,0.024204392649036306,0.28859540989471666,0.017219116031235007
DIS,2024,0.02922228729527233,0.09257837631921886,0.02651693538514228
GS,2024,0.11887962265068443,0.20760126111853133,0.09420006306710721
HD,2024,0.037261197624016695,0.2404411015652364,0.028302074221658154
HON,2024,0.03283165244375485,0.20973284363741174,0.025945776615410965
IBM,2024,0.029317076512089868,-0.18938716915731832,0.034869354640683074
JNJ,2024,0.02060927007697767,0.12132101291728489,0.018108932555752848
JPM,2024,0.13492716462578513,0.19520111410169597,0.10858923176824894
KO,2024,0.03620859298130535,0.1910004984123999,0.029292733675064304
MCD,2024,0.02899052899052899,0.20275763292487317,0.02311247795516942
MMM,2024,0.08653634965956512,0.17838367339124134,0.071099677725423
MRK,2024,0.03424860553474711,0.27916073514664286,0.024687739635919723
MSFT,2025,0.02125971618056051,0.16355918897945668,0.0177824942441346
NKE,2025,0.0,0.14685103820690534,0.0
NVDA,2025,0.024050632911392405,0.048878998837087864,0.02287506205328523
PG,2025,0.026283760287469572,0.1930810399161509,0.021208864518258118
SHW,2024,0.036211629019667096,0.20697357800750432,0.02871677859598622
TRV,2024,0.04879870534047056,0.16037132046458208,0.040972792528057245
UNH,2024,0.05079059606782482,0.2214159833941501,0.039544746292292335
V,2024,0.030764062200038394,0.19486265176960968,0.024769295460533698
VZ,2024,0.03951721639135884,0.24065244181507958,0.03000730177304345
WMT,2025,0.0453804438234022,0.2826832829479217,0.032552150981769126
