date,symbol,reported_currency,cik,filling_date,accepted_date,calendar_year,period,revenue,cost_of_revenue,gross_profit,gross_profit_ratio,research_and_development_expenses,general_and_administrative_expenses,selling_and_marketing_expenses,selling_general_and_administrative_expenses,other_expenses,operating_expenses,cost_and_expenses,interest_income,interest_expense,depreciation_and_amortization,ebitda,ebitdaratio,operating_income,operating_income_ratio,total_other_income_expenses_net,income_before_tax,income_before_tax_ratio,income_tax_expense,net_income,net_income_ratio,eps,epsdiluted,weighted_average_shs_out,weighted_average_shs_out_dil,link,final_link
2024-12-31,GS,USD,0000886982,2025-02-27,2025-02-27 08:50:25,2024,FY,126853000000,74689000000,52164000000,0.4112161321,0,16706000000,646000000,17352000000,16415000000,33767000000,108456000000,81397000000,73341000000,2392000000,20789000000,0.1638826043,18397000000,0.1450261326,0,18397000000,0.1450261326,4121000000,14276000000,0.1125397113,41.22,40.54,328100000,333600000,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/0000886982-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698225000005/gs-20241231.htm
2023-12-31,GS,USD,0000886982,2024-02-28,2024-02-27 21:46:02,2023,FY,108418000000,63192000000,45226000000,0.4171447546,0,15499000000,629000000,16128000000,18359000000,34487000000,97679000000,68515000000,62164000000,4856000000,15595000000,0.1438414285,10739000000,0.099051818,0,10739000000,0.099051818,2223000000,8516000000,0.0785478426,23.05,22.87,340800000,345800000,https://www.sec.gov/Archives/edgar/data/886982/000088698224000012/0000886982-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698224000012/gs-20231231.htm
2022-12-31,GS,USD,0000886982,2023-02-24,2023-02-23 19:58:16,2022,FY,68711000000,24061000000,44650000000,0.6498231724,0,15148000000,812000000,15960000000,15204000000,31164000000,55225000000,29024000000,21346000000,2455000000,15941000000,0.2320006986,13486000000,0.1962713394,0,13486000000,0.1962713394,2225000000,11261000000,0.1638893336,30.57,30.06,352100000,358100000,https://www.sec.gov/Archives/edgar/data/886982/000088698223000003/0000886982-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000088698223000003/gs-20221231.htm
2021-12-31,GS,USD,0000886982,2022-02-25,2022-02-24 21:09:11,2021,FY,64989000000,6007000000,58982000000,0.9075689732,0,17719000000,553000000,18272000000,13666000000,31938000000,37945000000,12120000000,5650000000,2015000000,29059000000,0.4471372078,27044000000,0.4161319608,0,27044000000,0.4161319608,5409000000,21635000000,0.3329024912,60.35,59.45,350500000,355800000,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/0001193125-22-052682-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312522052682/d192225d10k.htm
2020-12-31,GS,USD,0000886982,2021-02-22,2021-02-19 21:16:45,2020,FY,53497000000,12036000000,41461000000,0.7750154214,0,13309000000,401000000,13710000000,15272000000,28982000000,41018000000,13689000000,8938000000,1902000000,14381000000,0.2688188123,12479000000,0.2332654168,0,12479000000,0.2332654168,3020000000,9459000000,0.1768136531,25.01,24.74,356400000,360300000,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/0001193125-21-049380-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312521049380/d39654d10k.htm
2025-06-30,MSFT,USD,0000789019,2025-07-30,2025-07-30 16:11:40,2025,FY,281724000000,87831000000,193893000000,0.6882374239,32488000000,7223000000,25654000000,32877000000,0,65365000000,153196000000,2647000000,2385000000,34153000000,160165000000,0.5685174142,128528000000,0.4562195624,-4901000000,123627000000,0.4388231035,21795000000,101832000000,0.3614601525,13.7,13.64,7433000000,7465000000,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/0000950170-25-100235-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
2024-06-30,MSFT,USD,0000789019,2024-07-30,2024-07-30 16:06:22,2024,FY,245122000000,74114000000,171008000000,0.6976444383,29510000000,7609000000,24456000000,32065000000,0,61575000000,135689000000,3157000000,2935000000,22287000000,133009000000,0.5426236731,109433000000,0.4464429957,-1646000000,107787000000,0.4397279722,19651000000,88136000000,0.3595597294,11.86,11.8,7431000000,7469000000,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,211915000000,65863000000,146052000000,0.6892008588,27195000000,7575000000,22759000000,30334000000,0,57529000000,123392000000,2994000000,1968000000,13861000000,105140000000,0.4961423212,88523000000,0.4177288064,788000000,89311000000,0.4214472784,16950000000,72361000000,0.3414623788,9.72,9.68,7446000000,7472000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,198270000000,62650000000,135620000000,0.6840167448,24512000000,5900000000,21825000000,27725000000,0,52237000000,114887000000,2094000000,2063000000,14460000000,100239000000,0.5055681646,83383000000,0.4205527816,333000000,83716000000,0.4222323095,10978000000,72738000000,0.3668633681,9.7,9.65,7496000000,7540000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,168088000000,52232000000,115856000000,0.6892580077,20716000000,5107000000,20117000000,25224000000,0,45940000000,98172000000,2131000000,2346000000,11686000000,85134000000,0.5064846985,69916000000,0.4159487887,1186000000,71102000000,0.4230046166,9831000000,61271000000,0.3645173956,8.12,8.05,7547000000,7608000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
